ZONEID,,Site1,Site2,Site3,Site1,Site2,Site3,Site1,Site2,Site3,Site1,Site2,Site3,Site1,Site2,Site3,Site1,Site2,Site3,Site1,Site2,Site3,Site1,Site2,Site3,Site1,Site2,Site3,Site1,Site2,Site3,Site1,Site2,Site3,Site1,Site2,Site3,Site1,Site2,Site3
,,Power,Power,Power,VAR134,VAR134,VAR134,VAR157,VAR157,VAR157,VAR164,VAR164,VAR164,VAR165,VAR165,VAR165,VAR166,VAR166,VAR166,VAR167,VAR167,VAR167,VAR169,VAR169,VAR169,VAR175,VAR175,VAR175,VAR178,VAR178,VAR178,VAR228,VAR228,VAR228,VAR78,VAR78,VAR78,VAR79,VAR79,VAR79
ref_datetime,valid_datetime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-04-01 01:00:00,2012-04-01 01:00:00,0.754102564,0.647327935,0.799,94843.625,94290.625,92667.625,60.22190857,57.37425232,57.00315857,0.244601131,0.190966487,0.238146663,1.039334297,0.857937813,0.986233711,-2.50303936,-2.801623344,-3.133410454,294.4484863,294.3933105,293.9035645,2577830.0,2595302.0,2606438.0,1202532.0,1192092.0,1158284.0,2861797.0,2884677.0,2901861.0,0.0,0.0,0.0,0.001966858,0.001478577,0.003530884,0.003608704,0.005443573,0.024673462
2012-04-01 01:00:00,2012-04-01 02:00:00,0.555,0.621821862,0.8175,94757.9375,94217.6875,92622.6875,54.67860413,57.129776,64.96083069,0.457137644,0.517135203,0.561614573,2.482865334,2.594071388,2.68843174,-2.993330002,-2.653242111,-2.574872971,295.6513672,294.9624023,293.1965332,5356093.0,5374973.0,5352637.0,2446757.0,2420485.0,2341093.0,5949378.0,5984578.0,5980930.0,0.0,0.0,0.000773549,0.00552449,0.018303726,0.027481887,0.033574812,0.101552665,0.140474021
2012-04-01 01:00:00,2012-04-01 03:00:00,0.438397436,0.472692308,0.5715,94732.8125,94201.0625,92598.8125,61.29489136,63.07614136,66.79586792,0.77142942,0.705221534,0.661611915,3.339866638,2.881370544,2.884544373,-1.982535362,-1.647818565,-1.893668175,294.4545898,293.876709,292.5925293,7921788.0,7858492.0,7714300.0,3681336.0,3643656.0,3531304.0,8939176.0,8929064.0,8822632.0,0.001340866,0.001256347,0.001671195,0.03011322,0.035255432,0.032356262,0.132008791,0.112935305,0.136616945
2012-04-01 01:00:00,2012-04-01 04:00:00,0.145448718,0.098866397,0.063775,94704.0625,94156.0625,92542.0625,67.77528381,62.97547913,65.17762756,0.965866208,0.993362546,0.941558957,3.10610199,3.024803162,3.175682068,-1.446050644,-1.496831894,-1.6398983,293.2614746,293.0712891,292.1748047,9860520.0,9719720.0,9619368.0,4921504.0,4885120.0,4740096.0,11331679.0,11258463.0,11178847.0,0.002501488,0.001725674,0.002083778,0.057167053,0.06451416,0.031951904,0.110645294,0.107761383,0.097370148
2012-04-01 01:00:00,2012-04-01 05:00:00,0.111987179,0.104392713,0.1037,94675.0,94124.25,92508.0,70.17298889,65.05384827,65.74427795,0.944668651,0.937603831,0.944683909,2.601145744,2.521555901,2.697337151,-1.904493332,-1.836622238,-1.880079269,292.7329102,292.5444336,291.5844727,11143097.0,11054009.0,11054009.0,6254380.0,6211372.0,6014412.0,13105558.0,13079318.0,13079958.0,0.003331184,0.002093077,0.002533913,0.051026557,0.059495185,0.048493598,0.189559937,0.157592773,0.163772583
2012-04-01 01:00:00,2012-04-01 06:00:00,0.05724359,0.072631579,0.054575,94676.9375,94132.4375,92516.6875,72.3740387,69.30958557,69.72169495,0.641353369,0.724117041,0.760051489,1.333368301,1.072137833,1.109003067,-1.728430748,-1.826086998,-2.157141685,292.0771484,291.8586426,290.9304199,11815767.0,11728855.0,11790807.0,7558415.0,7502223.0,7266127.0,14198503.0,14179175.0,14233063.0,0.003960133,0.002279043,0.002608776,0.036995962,0.049004629,0.035927847,0.0990448,0.097633362,0.109870911
2012-04-01 01:00:00,2012-04-01 07:00:00,0.088717949,0.295607287,0.12335,94708.0625,94162.8125,92539.0625,81.79873657,78.61904907,76.37783813,0.753142357,0.601546288,0.582350731,1.457922935,1.473792076,1.172278404,-1.034620285,-1.286085129,-1.815748215,291.0693359,290.7595215,289.8535156,12274591.0,12161695.0,12213663.0,8798617.0,8742745.0,8477945.0,14925342.0,14882846.0,14925342.0,0.004969597,0.002907753,0.002652645,0.080911219,0.038781747,0.020776376,0.121322632,0.123748779,0.090019226
2012-04-01 01:00:00,2012-04-01 08:00:00,0.030064103,0.107631579,0.027875,94748.8125,94180.3125,92547.3125,87.85406494,85.456604,84.24664307,0.788338363,0.671868026,0.596352279,2.374826431,1.742136002,1.018503189,-1.089039803,-1.630421638,-1.424977303,289.0734863,288.8383789,287.8583984,12351290.0,12242234.0,12310074.0,10041167.0,9966479.0,9674511.0,15112951.0,15069943.0,15122039.0,0.006476879,0.002963543,0.002693176,0.03615883,0.023600847,0.012645036,0.139068604,0.0782547,0.04763031
2012-04-01 01:00:00,2012-04-01 09:00:00,0.000128205,0.0,0.000125,94785.8125,94236.5625,92612.3125,88.79348755,89.03372192,90.24661255,0.502274573,0.49878031,0.490281165,1.985530853,1.474666595,1.235286713,-0.963009834,-1.038693428,-1.177853584,288.03125,287.262207,285.8032227,12351290.0,12242234.0,12310074.0,11257316.0,11131812.0,10797860.0,15112951.0,15069943.0,15122039.0,0.006724834,0.002991676,0.002711296,0.036372229,0.035899207,0.037684485,0.072608948,0.048423767,0.029418945
